Channel,a,σa,b,σb,c,σc,R2
R,45.599,0.3680984238280774,89.806,3.1100244880870447,-0.86998,0.04573354335445666,0.9996
G,15.778,1.1727855507769922,156.8,11.394095646492676,-1.1828,0.1158881422757326,0.9982
B,21.178,0.5406817705205519,252.84,9.583744151572795,-3.7237,0.1351201677794365,0.9997
