ImageName,Dose,ROIShape,ROISize,ROIX_orig,ROIY_orig,MeanR,MeanG,MeanB,StdDevR,StdDevG,StdDevB,NumPixels
0_RC_0.tiff,0.0,rectangle,40,1304.48,2510.34,178.33,160.36,100.66,2.13,1.82,2.03,1600
1_RC_0.1.tiff,0.1,rectangle,40,1273.10,2541.72,167.32,153.68,99.27,2.13,1.84,2.17,1600
2_RC_0.3.tiff,0.3,rectangle,40,1371.72,2407.24,151.74,142.96,96.28,2.12,1.94,2.04,1600
3_RC_0.5.tiff,0.5,rectangle,40,1353.79,2537.24,139.27,133.49,93.74,2.00,1.94,2.10,1600
4_RC_0.7.tiff,0.7,rectangle,40,1389.66,2528.28,129.85,125.78,91.65,2.09,1.85,2.09,1600
5_RC_1.tiff,1.0,rectangle,40,1371.72,2555.17,117.93,115.23,88.13,2.02,1.78,2.17,1600
6_RC_2.tiff,2.0,rectangle,40,1385.17,2532.76,95.85,92.59,80.86,2.04,1.94,2.16,1600
7_RC_4.tiff,4.0,rectangle,40,1376.21,2568.62,75.81,65.25,69.25,2.18,1.96,2.23,1600
8_RC_6.tiff,6.0,rectangle,40,1389.66,2608.97,67.43,51.00,61.55,2.32,2.11,2.40,1600
9_RC_8.tiff,8.0,rectangle,40,1322.41,2595.52,62.48,41.92,55.96,2.51,2.35,2.35,1600
10_RC_10.tiff,10.0,rectangle,40,1412.07,2595.52,59.56,36.88,51.29,2.38,2.23,2.37,1600
11_RC_12.tiff,12,rectangle,40,1389.66,2505.86,57.55,33.56,47.80,2.16,2.30,2.53,1600
12_RC_14.tiff,14,rectangle,40,1210.34,923.45,56.81,31.36,44.79,2.25,2.70,2.81,1600
13_RC_16.tiff,16,rectangle,40,1380.69,2528.28,55.18,29.00,41.87,2.25,2.77,2.55,1600
14_RC_18.tiff,18,rectangle,40,1376.21,2546.21,54.37,27.72,40.17,2.35,2.80,2.57,1600
15_RC_20.tiff,20,rectangle,40,1389.66,2730.00,53.62,26.77,38.65,2.40,2.85,2.55,1600
