Channel,a,σa,b,σb,c,σc,R2
R,45.672,0.2492685281574209,160.05,2.1072861074089864,-1.2117,0.017643455773287006,0.9999
G,9.4476,0.831587332916019,353.97,11.075224548704965,-2.3489,0.07181698692922607,0.9996
B,18.127,0.9246270601891939,551.9,23.82564711487525,-6.7786,0.23347617549719737,0.9996
