Dose,SplineR,SplineG,SplineB
0.0,160.03444444444443,142.66666666666666,97.58555555555556
0.033444816053511704,157.8783275887141,141.6019127349281,97.37387396996358
0.06688963210702341,155.71814474363055,140.39603394187677,97.08968971195728
0.1003344481605351,153.55841987269687,139.06953866828704,96.74292176695462
0.13377926421404682,151.40367693941624,137.64293529493318,96.34348912037358
0.16722408026755853,149.25843990729172,136.1367322025894,95.90131075763205
0.2006688963210702,147.1272327398265,134.57143777203007,95.42630566414799
0.23411371237458192,145.01457940052362,132.96756038402944,94.92839282533936
0.26755852842809363,142.92500385288616,131.34560841936187,94.4174912266241
0.3010033444816053,140.86303003902344,129.72609016581006,93.9035198085745
0.33444816053511706,138.83231614412003,128.12575079238835,93.39458272652361
0.36789297658862874,136.8333550937994,126.54757727880082,92.89214917145345
0.4013377926421404,134.86591664031027,124.99141324288802,92.39617243036788
0.43478260869565216,132.9297705359013,123.45710230249054,91.9066057902708
0.46822742474916385,131.02468653282125,121.94448807544897,91.42340253816607
0.5016722408026756,129.15043438331878,120.45341417960391,90.94651596105759
0.5351170568561873,127.3067838396426,118.98372423279594,90.47589934594924
0.568561872909699,125.49350465404144,117.53526185286566,90.01150597984493
0.6020066889632106,123.71036657876395,116.10787065765363,89.55328914974847
0.6354515050167224,121.95713936605887,114.70139426500047,89.1012021426638
0.6688963210702341,120.23359276817492,113.31567629274674,88.6551982455948
0.7023411371237458,118.53949653736073,111.95056035873306,88.21523074554536
0.7357859531772575,116.87462042586509,110.6058900808,87.78125292951934
0.7692307692307692,115.23873418593668,109.28150907678813,87.35321808452062
0.8026755852842808,113.63160756982418,107.97726096453806,86.9310794975531
0.8361204013377926,112.05301032977628,106.69298936189035,86.51479045562064
0.8695652173913043,110.50271221804172,105.42853788668565,86.10430424572716
0.903010033444816,108.98048298686922,104.18375015676449,85.69957415487652
0.9364548494983277,107.48609238850742,102.95846978996747,85.30055347007261
0.9698996655518394,106.01931017520505,101.75254040413519,84.90719547831931
1.0033444816053512,104.57990609921083,100.56580561710823,84.5194534666205
1.0367892976588629,103.16764991277346,99.39810904672719,84.13728072198005
1.0702341137123745,101.78231136814165,98.24929431083264,83.76063053140187
1.1036789297658862,100.42366021756409,97.11920502726517,83.38945618188986
1.137123745819398,99.09146621328946,96.0076848138654,83.02371096044783
1.1705685618729096,97.7854991075665,94.91457728847385,82.66334815407974
1.2040133779264213,96.50552865264389,93.83972606893116,82.30832104978941
1.237458193979933,95.25132460077035,92.78297477307792,81.95858293458078
1.2709030100334449,94.02265670419457,91.74416701875468,81.61408709545768
1.3043478260869565,92.81929471516526,90.72314642380209,81.27478681942402
1.3377926421404682,91.64100838593112,89.71975660606067,80.94063539348373
1.37123745819398,90.48756746874088,88.73384118337106,80.61158610464062
1.4046822742474916,89.3587417158432,87.7652437735738,80.28759223989857
1.4381270903010033,88.2543008794868,86.81380799450953,79.96860708626151
1.471571906354515,87.1740147119204,85.87937746401879,79.65458393073334
1.5050167224080266,86.11765296539268,84.96179579994221,79.34547606031786
1.5384615384615383,85.08498539215238,84.06090662012035,79.04123676201901
