Channel,a,σa,b,σb,c,σc,R2,bit_depth
R,-7486.7,7221.5517210339995,3.6921e+05,155643.6717744597,-5.3269,2.153389378317088,0.9851,16
G,-20486,13583.297440376717,7.7316e+05,443686.0317484879,-10.548,4.5743882642921,0.9871,16
B,-1.5675e+05,543131.7594685827,2.8348e+07,170169716.2401691,-150.3,470.48715851523406,0.9838,16
