Channel,a,σa,b,σb,c,σc,R2
R,44.513,0.5351011804463754,175.4,5.3043757779056895,-1.5108,0.048505079551228396,0.9995
G,6.6566,1.3867457605293254,393.47,20.962339607416283,-2.8718,0.1439132247251091,0.9990
B,14.943,0.844470677001335,694.07,25.14450137052255,-8.4617,0.2344243612537808,0.9998
